index,feature_name,type,provenance,mean,std,min,max,n_unique
0,num__person_age,numeric_scaled,original,-2.1002275449642017e-16,1.0,-1.233332738366649,11.54840534327027,54
1,num__person_income,numeric_scaled,original,-9.617480342888908e-17,1.0,-0.9799771279389178,94.05615868365717,3710
2,num__person_emp_length,numeric_scaled,original,5.671847381703714e-17,1.0,-1.1917648743647733,11.373734910968546,33
3,num__loan_amnt,numeric_scaled,original,1.368641433411114e-16,1.0,-1.4462301842885552,4.041452862196326,713
4,num__loan_int_rate,numeric_scaled,original,5.121102780871615e-16,0.9999999999999999,-1.820897418508955,3.968050539753275,336
5,num__loan_percent_income,numeric_scaled,original,3.0578655449185245e-16,1.0,-1.5992415811242433,6.1742240281544305,75
6,num__cb_person_cred_hist_length,numeric_scaled,original,-6.302052646337461e-17,1.0,-0.9388586163199849,5.98239025036708,29
7,num__dti_ratio,numeric_scaled,engineered,-1.2480804262637885e-16,0.9999999999999999,-1.5903498656701058,6.15371439587492,12762
8,num__total_loan_cost,numeric_scaled,engineered,0.0,1.0,-1.2074334513443126,7.009202086821161,8615
9,num__income_to_loan,numeric_scaled,engineered,6.096550929609066e-18,0.9999999999999999,-0.6637969658273533,93.37877943627647,12801
10,num__age_to_cred_hist,numeric_scaled,engineered,5.480045779423879e-19,1.0,-1.8335112313564839,15.797027013372313,249
11,num__employment_stability,numeric_scaled,engineered,1.1508096136790147e-17,0.9999999999999999,-1.123592838760661,12.250956129178777,6933
12,num__log_income,numeric_scaled,engineered,-1.6571658436977812e-15,1.0,-4.6648370775355765,8.312460325104233,3710
13,num__log_loan_amnt,numeric_scaled,engineered,-4.038108733712971e-16,1.0000000000000002,-3.846980584345454,2.1432622000244086,713
14,num__risk_profile,numeric_scaled,engineered,9.740781372925945e-17,0.9999999999999999,-1.0525602411000996,2.0324911488075337,3
15,cat__person_home_ownership_MORTGAGE,categorical_onehot,original_encoded,0.41215486657411693,0.4922227468670955,0.0,1.0,2
16,cat__person_home_ownership_OTHER,categorical_onehot,original_encoded,0.0033934906679006635,0.0581547494963871,0.0,1.0,2
17,cat__person_home_ownership_OWN,categorical_onehot,original_encoded,0.07874440845287675,0.26933942635693586,0.0,1.0,2
18,cat__person_home_ownership_RENT,categorical_onehot,original_encoded,0.5057072343051057,0.4999674264155481,0.0,1.0,2
19,cat__loan_intent_DEBTCONSOLIDATION,categorical_onehot,original_encoded,0.16115224433132808,0.3676713185418521,0.0,1.0,2
20,cat__loan_intent_EDUCATION,categorical_onehot,original_encoded,0.1975937066173068,0.39818391946755016,0.0,1.0,2
21,cat__loan_intent_HOMEIMPROVEMENT,categorical_onehot,original_encoded,0.1087845133425883,0.31136866091404336,0.0,1.0,2
22,cat__loan_intent_MEDICAL,categorical_onehot,original_encoded,0.1867191115224433,0.3896858797989897,0.0,1.0,2
23,cat__loan_intent_PERSONAL,categorical_onehot,original_encoded,0.16797778806108282,0.37384656047526876,0.0,1.0,2
24,cat__loan_intent_VENTURE,categorical_onehot,original_encoded,0.17777263612525065,0.38232123400398504,0.0,1.0,2
25,cat__loan_grade_A,categorical_onehot,original_encoded,0.3310195896961283,0.4705800898184443,0.0,1.0,2
26,cat__loan_grade_B,categorical_onehot,original_encoded,0.31948943390405676,0.4662788173697387,0.0,1.0,2
27,cat__loan_grade_C,categorical_onehot,original_encoded,0.19948326392102422,0.3996119259186833,0.0,1.0,2
28,cat__loan_grade_D,categorical_onehot,original_encoded,0.11140675613142063,0.31463517098330696,0.0,1.0,2
29,cat__loan_grade_E,categorical_onehot,original_encoded,0.02950023137436372,0.1692039234864922,0.0,1.0,2
30,cat__loan_grade_F,categorical_onehot,original_encoded,0.007249730063242326,0.08483614487500268,0.0,1.0,2
31,cat__loan_grade_G,categorical_onehot,original_encoded,0.0018509949097639982,0.0429833540758283,0.0,1.0,2
32,cat__cb_person_default_on_file_N,categorical_onehot,original_encoded,0.8233456732993985,0.38137589797804305,0.0,1.0,2
33,cat__cb_person_default_on_file_Y,categorical_onehot,original_encoded,0.17665432670060158,0.38137589797804305,0.0,1.0,2
34,cat__dti_bucket_high_dti,categorical_onehot,engineered_encoded,0.0350146537097023,0.1838168320238708,0.0,1.0,2
35,cat__dti_bucket_low_dti,categorical_onehot,engineered_encoded,0.6786210087922259,0.4670059263200495,0.0,1.0,2
36,cat__dti_bucket_medium_dti,categorical_onehot,engineered_encoded,0.28486040413388863,0.451347930415734,0.0,1.0,2
37,cat__dti_bucket_very_high_dti,categorical_onehot,engineered_encoded,0.0015039333641832485,0.038751407053413504,0.0,1.0,2
38,cat__age_group_established,categorical_onehot,engineered_encoded,0.09663735924726206,0.2954633311343012,0.0,1.0,2
39,cat__age_group_mid_career,categorical_onehot,engineered_encoded,0.42291377448712014,0.4940219770781229,0.0,1.0,2
40,cat__age_group_senior,categorical_onehot,engineered_encoded,0.008753663427425574,0.093150613546154,0.0,1.0,2
41,cat__age_group_young,categorical_onehot,engineered_encoded,0.4716952028381922,0.49919819556728057,0.0,1.0,2
42,cat__income_quartile_Q1,categorical_onehot,engineered_encoded,0.25065556069720807,0.43339052895601704,0.0,1.0,2
43,cat__income_quartile_Q2,categorical_onehot,engineered_encoded,0.2536634274255746,0.4351072201334802,0.0,1.0,2
44,cat__income_quartile_Q3,categorical_onehot,engineered_encoded,0.24568101187721733,0.4304902464402695,0.0,1.0,2
45,cat__income_quartile_Q4,categorical_onehot,engineered_encoded,0.25,0.4330127018922193,0.0,1.0,2
