feature,dtype,n_missing,pct_missing,n_unique,sample_values
person_age,int64,0,0.00%,57,"[22, 21, 25]"
person_income,int64,0,0.00%,4295,"[59000, 9600, 9600]"
person_home_ownership,object,0,0.00%,4,"['RENT', 'OWN', 'MORTGAGE']"
person_emp_length,float64,887,2.74%,36,"[50.0, 5.0, 1.0]"
loan_intent,object,0,0.00%,6,"['PERSONAL', 'EDUCATION', 'MEDICAL']"
loan_grade,object,0,0.00%,7,"['D', 'B', 'C']"
loan_amnt,int64,0,0.00%,753,"[35000, 1000, 5500]"
loan_int_rate,float64,3095,9.55%,348,"[16.02, 11.14, 12.87]"
loan_percent_income,float64,0,0.00%,77,"[0.59, 0.1, 0.57]"
cb_person_default_on_file,object,0,0.00%,2,"['Y', 'N', 'N']"
cb_person_cred_hist_length,int64,0,0.00%,29,"[3, 2, 3]"
